id;nome;categoria;dificuldade;tipoCombate;lane;descricao;imagem_url
19;Corki;Marksman;Médio;Físico/Mágico;/Mid/;The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Corki.png
20;Darius;Tank-Warrior;Médio;Físico;Top/;There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemiesâ€”many of them Noxians themselves. Knowing that...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Darius.png
21;Diana;Mage-Warrior;Fácil;Mágico;/Jungle/Mid/;Bearing her crescent moonblade, Diana fights as a warrior of the Lunariâ€”a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Diana.png
22;Dr.Mundo;Tank-Warrior;Fácil;Físico/Mágico;;;
23;Draven;Marksman;Dificil;Físico;/Atirador/;In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength testedâ€”but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Draven.png
24;Ekko;Mage-Warrior;Dificil;Mágico;/Jungle/Mid/;A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ekko.png
25;Elise;Mage-Assasin;Dificil;Mágico;/Jungle/;Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Elise.png
26;Evelynn;Assasin;Médio;Mágico;/Jungle/;Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous faÃ§ade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Evelynn.png
27;Ezreal;Mage-Marksman;Médio;Físico/Mágico;/Atirador/;A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ezreal.png
28;Fiddlesticks;Mage;Médio;Mágico;/Jungle/;Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Fiddlesticks.png
29;Fiora;Warrior;Dificil;Físico;Top/;The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Fiora.png
30;Fizz;Mage-Assasin;Dificil;Mágico;/Mid/;Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross himâ€”for many are the tales...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Fizz.png
31;Galio;Mage;Médio;Mágico;/Mid/;Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Galio.png
32;Gangplank;Warrior;Dificil;Físico;Top/;As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Gangplank.png
33;Garen;Tank-Warrior;Fácil;Físico;Top/;A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemiesâ€”not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Garen.png
34;Gnar;Warrior;Dificil;Físico;Top/;Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Gnar.png
35;Gragas;Mage-Warrior;Médio;Mágico;/Jungle/;Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Gragas.png
36;Graves;Marksman;Médio;Físico;/Jungle/;Malcolm Graves is a renowned mercenary, gambler, and thiefâ€”a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Graves.png
37;Hecarim;Warrior;Médio;Físico;/Jungle/;Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Hecarim.png
38;Heimerdinger;Mage;Médio;Mágico;/Suporte;A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Heimerdinger.png
39;Illaoi;Tank-Warrior;Médio;Físico;Top/;Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the â€œTruth Bearer...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Illaoi.png
40;Irelia;Warrior;Dificil;Físico/Mágico;Top/Mid/;The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Irelia.png
41;Ivern;Mage;Dificil;Mágico;/Jungle/;Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ivern.png
42;Janna;Support;Fácil;Mágico;/Suporte;Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Janna.png
43;Jarvan IV;Tank-Warrior;Fácil;Físico;/Jungle/;Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/JarvanIV.png
44;Jax;Warrior;Médio;Físico/Mágico;Top/Jungle/;Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Jax.png
45;Jayce;Warrior;Médio;Físico;Top/;Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Jayce.png
46;Jhin;Marksman;Médio;Físico;/Atirador/;Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Jhin.png
47;Jinx;Marksman;Médio;Físico;/Atirador/;A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Jinx.png
48;Kai Sa;Marksman;Médio;Físico/Mágico;;;
49;Kalista;Marksman;Dificil;Físico;/Atirador/;A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kalista.png
50;Karma;Mage-Support;Fácil;Mágico;/Mid/Suporte;No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Karma.png
51;Karthus;Mage;Médio;Mágico;/Jungle/;The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Karthus.png
52;Kassadin;Mage-Assasin;Médio;Mágico;/Mid/;Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribesâ€”until the day his village was...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kassadin.png
53;Katarina;Mage-Assasin;Dificil;Mágico;/Mid/;Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Katarina.png
54;Kayle;Mage;Médio;Físico/Mágico;Top/;Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many yearsâ€”until Kayle became disillusioned...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kayle.png
55;Kayn;Assasin;Médio;Físico;/Jungle/;A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destinyâ€”to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kayn.png
56;Kennen;Mage;Médio;Mágico;Top/;More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kennen.png
57;Kha Zix;Assasin;Médio;Físico;;;
58;Kindred;Assasin;Dificil;Físico;/Jungle/;Separate, but never parted, Kindred represents the twin essences of death. Lamb's bow offers a swift release from the mortal realm for those who accept their fate. Wolf hunts down those who run from their end, delivering violent finality within his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kindred.png
59;Kled;Warrior;Médio;Físico;Top/;A warrior as fearless as he is ornery, the yordle Kled embodies the furious bravado of Noxus. He is an icon beloved by the empire's soldiers, distrusted by its officers, and loathed by the nobility. Many claim Kled has fought in every campaign the...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Kled.png
60;Kog Maw;Marksman;Médio;Físico/Mágico;;;
61;Leblanc;Mage-Assasin;Dificil;Mágico;/Mid/;Mysterious even to other members of the Black Rose cabal, LeBlanc is but one of many names for a pale woman who has manipulated people and events since the earliest days of Noxus. Using her magic to mirror herself, the sorceress can appear to anyone...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Leblanc.png
62;Lee Sin;Warrior-Assasin;Dificil;Físico;/Jungle/;A master of Ionia's ancient martial arts, Lee Sin is a principled fighter who channels the essence of the dragon spirit to face any challenge. Though he lost his sight many years ago, the warrior-monk has devoted his life to protecting his homeland...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/LeeSin.png
63;Leona;Tank;Fácil;Mágico;/Suporte;Imbued with the fire of the sun, Leona is a holy warrior of the Solari who defends Mount Targon with her Zenith Blade and the Shield of Daybreak. Her skin shimmers with starfire while her eyes burn with the power of the celestial Aspect within her...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Leona.png
64;Lissandra;Mage;Médio;Mágico;/Mid/;Lissandra's magic twists the pure power of ice into something dark and terrible. With the force of her black ice, she does more than freezeâ€”she impales and crushes those who oppose her. To the terrified denizens of the north, she is known only as ''The...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Lissandra.png
65;Lucian;Marksman;Médio;Físico;/Atirador/;Lucian, a Sentinel of Light, is a grim hunter of undying spirits, pursuing them relentlessly and annihilating them with his twin relic pistols. After the wraith Thresh slew his wife, Lucian embarked on the path of vengeanceâ€”but even with her return to...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Lucian.png
66;Lulu;Support;Médio;Mágico;/Suporte;The yordle mage Lulu is known for conjuring dreamlike illusions and fanciful creatures as she roams Runeterra with her fairy companion Pix. Lulu shapes reality on a whim, warping the fabric of the world, and what she views as the constraints of this...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Lulu.png
67;Lux;Mage;Fácil;Mágico;/Mid/Suporte;Luxanna Crownguard hails from Demacia, an insular realm where magical abilities are viewed with fear and suspicion. Able to bend light to her will, she grew up dreading discovery and exile, and was forced to keep her power secret, in order to preserve...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Lux.png
68;Malphite;Tank;Fácil;Mágico;Top/;A massive creature of living stone, Malphite struggles to impose blessed order on a chaotic world. Birthed as a servitor-shard to an otherworldly obelisk known as the Monolith, he used his tremendous elemental strength to maintain and protect his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Malphite.png
69;Malzahar;Mage;Fácil;Mágico;/Mid/;A zealous seer dedicated to the unification of all life, Malzahar truly believes the newly emergent Void to be the path to Runeterra's salvation. In the desert wastes of Shurima, he followed the voices that whispered in his mind, all the way to ancient...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Malzahar.png
70;Maokai;Tank;Fácil;Mágico;/Suporte;Maokai is a rageful, towering treant who fights the unnatural horrors of the Shadow Isles. He was twisted into a force of vengeance after a magical cataclysm destroyed his home, surviving undeath only through the Waters of Life infused within his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Maokai.png
71;Master Yi;Assasin;Fácil;Físico;/Jungle/;Master Yi has tempered his body and sharpened his mind, so that thought and action have become almost as one. Though he chooses to enter into violence only as a last resort, the grace and speed of his blade ensures resolution is always swift. As one of...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/MasterYi.png
72;Miss Fortune;Marksman;Fácil;Físico;/Atirador/;A Bilgewater captain famed for her looks but feared for her ruthlessness, Sarah Fortune paints a stark figure among the hardened criminals of the port city. As a child, she witnessed the reaver king Gangplank murder her familyâ€”an act she brutally...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/MissFortune.png
73;Mordekaiser;Warrior;Médio;Mágico;Top/;Twice slain and thrice born, Mordekaiser is a brutal warlord from a foregone epoch who uses his necromantic sorcery to bind souls into an eternity of servitude. Few now remain who remember his earlier conquests, or know the true extent of his powersâ€”but...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Mordekaiser.png
74;Morgana;Mage-Support;Fácil;Mágico;/Suporte;Conflicted between her celestial and mortal natures, Morgana bound her wings to embrace humanity, and inflicts her pain and bitterness upon the dishonest and the corrupt. She rejects laws and traditions she believes are unjust, and fights for truth from...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Morgana.png
75;Nami;Support;Médio;Mágico;/Suporte;A headstrong young vastaya of the seas, Nami was the first of the Marai tribe to leave the waves and venture onto dry land, when their ancient accord with the Targonians was broken. With no other option, she took it upon herself to complete the sacred...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nami.png
76;Nasus;Warrior;Fácil;Físico;Top/;Nasus is an imposing, jackal-headed Ascended being from ancient Shurima, a heroic figure regarded as a demigod by the people of the desert. Fiercely intelligent, he was a guardian of knowledge and peerless strategist whose wisdom guided the ancient...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nasus.png
77;Nautilus;Tank-Support;Médio;Mágico;/Suporte;A lonely legend as old as the first piers sunk in Bilgewater, the armored goliath known as Nautilus roams the dark waters off the coast of the Blue Flame Isles. Driven by a forgotten betrayal, he strikes without warning, swinging his enormous anchor to...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nautilus.png
78;Neeko;Mage;Fácil;Mágico;/Mid/Suporte;Hailing from a long lost tribe of vastaya, Neeko can blend into any crowd by borrowing the appearances of others, even absorbing something of their emotional state to tell friend from foe in an instant. No one is ever sure whereâ€”or whoâ€”Neeko might be...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Neeko.png
79;Nidalee;Assasin;Dificil;Mágico;/Jungle/;Raised in the deepest jungle, Nidalee is a master tracker who can shapeshift into a ferocious cougar at will. Neither wholly woman nor beast, she viciously defends her territory from any and all trespassers, with carefully placed traps and deft spear...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nidalee.png
80;Nocturne;Assasin;Fácil;Físico;/Jungle/;A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Nocturne.png
81;Nunu;Tank;Fácil;Mágico;;;
82;Olaf;Warrior;Médio;Físico;Top/;An unstoppable force of destruction, the axe-wielding Olaf wants nothing but to die in glorious combat. Hailing from the brutal Freljordian peninsula of Lokfar, he once received a prophecy foretelling his peaceful passingâ€”a coward's fate, and a great...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Olaf.png
83;Orianna;Mage;Médio;Mágico;/Mid/;Once a curious girl of flesh and blood, Orianna is now a technological marvel comprised entirely of clockwork. She became gravely ill after an accident in the lower districts of Zaun, and her failing body had to be replaced with exquisite artifice...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Orianna.png
84;Ornn;Warrior;Médio;Físico/Mágico;Top/;Ornn is the Freljordian spirit of forging and craftsmanship. He works in the solitude of a massive smithy, hammered out from the lava caverns beneath the volcano Hearth-Home. There he stokes bubbling cauldrons of molten rock to purify ores and fashion...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ornn.png
85;Pantheon;Warrior-Assasin;Fácil;Físico;Top/Suporte;Once an unwilling host to the Aspect of War, Atreus survived when the celestial power within him was slain, refusing to succumb to a blow that tore stars from the heavens. In time, he learned to embrace the power of his own mortality, and the stubborn...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Pantheon.png
86;Poppy;Tank-Warrior;Médio;Físico;Top/Jungle/;Runeterra has no shortage of valiant champions, but few are as tenacious as Poppy. Bearing the legendary hammer of Orlon, a weapon twice her size, this determined yordle has spent untold years searching in secret for the fabled â€œHero of Demacia,â€ said...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Poppy.png
87;Pyke;Support;Médio;Físico;/Suporte;A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fishâ€¦ and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Pyke.png
88;Qiyana;Warrior;Médio;Físico;/Mid/;In the jungle city of Ixaocan, Qiyana plots her own ruthless path to the high seat of the Yun Tal. Last in line to succeed her parents, she faces those who stand in her way with brash confidence and unprecedented mastery over elemental magic. With the...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Qiyana.png
89;Quinn;Marksman;Médio;Físico;Top/;Quinn is an elite ranger-knight of Demacia, who undertakes dangerous missions deep in enemy territory. She and her legendary eagle, Valor, share an unbreakable bond, and their foes are often slain before they realize they are fighting not one, but two...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Quinn.png
90;Rakan;Support;Médio;Mágico;/Suporte;As mercurial as he is charming, Rakan is an infamous vastayan troublemaker and the greatest battle-dancer in Lhotlan tribal history. To the humans of the Ionian highlands, his name has long been synonymous with wild festivals, uncontrollable parties...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rakan.png
91;Rammus;Tank;Fácil;Físico/Mágico;/Jungle/;Idolized by many, dismissed by some, mystifying to all, the curious being Rammus is an enigma. Protected by a spiked shell, he inspires increasingly disparate theories on his origin wherever he goesâ€”from demigod, to sacred oracle, to a mere beast...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rammus.png
92;Rek Sai;Warrior;Médio;Físico;;;
93;Renekton;Warrior;Fácil;Físico;Top/;Renekton is a terrifying, rage-fueled Ascended being from the scorched deserts of Shurima. Once, he was his empire's most esteemed warrior, leading the nation's armies to countless victories. However, after the empire's fall, Renekton was entombed...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Renekton.png
94;Rengar;Assasin;Médio;Físico;/Jungle/;Rengar is a ferocious vastayan trophy hunter who lives for the thrill of tracking down and killing dangerous creatures. He scours the world for the most fearsome beasts he can find, especially seeking any trace of Kha'Zix, the void creature who...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Rengar.png
